book1_ch04_4_3	book2_chapter5_2_1:2.0
book1_ch04_6_2	book2_chapter5_4_1:3.0
book1_ch02_3_3	book2_chapter1_1_1:2.0,book2_chapter1_1:2.0
book1_ch02_4_11	book2_chapter2_2_1:3.0
book1_ch04_4_4	book2_chapter5_2_1:1.5
book1_ch03_2_5	book2_chapter1_1_4:3.0
book1_ch02_4_3	book2_chapter1_2_1:2.0,book2_chapter1_3_1:2.0
book1_ch06_6_2	book2_chapter6_4_1:3.0
book1_ch03_7_2	book2_chapter1_4_2:1.0,book2_chapter1_4:1.0
book1_ch06_2_2	book2_chapter5_4_3:2.5
book1_ch04_5_5	book2_chapter2_2_2:3.0,book2_chapter5_3:2.0
book1_ch02_6_10	book2_chapter5_1_3:3.0
book1_ch01_4_2	book2_chapter1_4_3:2.0
book1_ch03_4_2	book2_chapter1_2_1:3.0
book1_ch01_5_3	book2_chapter1_4_1:3.0
book1_ch04_6_5	book2_chapter5_3_1:2.0,book2_chapter5_3_2:2.0,book2_chapter5_4:2.0
book1_ch01_7_6	book2_chapter1_5_1:3.0
book1_ch04_8_2	book2_chapter2_1_3:1.0,book2_chapter2_1_1:2.0
book1_ch02_4_15	book2_chapter1_2_1:2.0,book2_chapter1_3_1:2.0
book1_ch02_6_2	book2_chapter5_1_1:3.0
book1_ch01_7_12	book2_chapter1_5_1:2.5
book1_ch01_3_5	book2_chapter6_1_2:3.0,book2_chapter6_1_1:3.0
book1_ch03_8_2	book2_chapter1_6_1:3.0,book2_chapter5_6_2:3.0
book1_ch01_7_2	book2_chapter1_5_1:3.0
book1_ch03_5_2	book2_chapter1_2_1:3.0
book1_ch01_5_2	book2_chapter1_4_1:2.0
book1_ch03_7_3	book2_chapter5_6_1:2.0,book2_chapter1_6:2.0,book2_chapter1_4:1.0,book2_chapter5_6:3.0
book1_ch04_2_8	book2_chapter2_1_1:2.5
book1_ch04_8_3	book2_chapter3_7_1:2.0,book2_chapter2_1_1:2.0
book1_ch02_7_8	book2_chapter5_1_2:3.0
book1_ch06_5_3	book2_chapter6_1_4:2.5
book1_ch01_5_5	book2_chapter1_4_1:1.0
book1_ch03_4_5	book2_chapter1_2_1:2.0
book1_ch04_3_3	book2_chapter2_1_2:3.0,book2_chapter2_1_3:3.0,book2_chapter2_3:3.0
book1_ch03_4_6	book2_chapter1_2_1:3.0
book1_ch02_3_6	book2_chapter1_1_3:3.0
book1_ch04_4_2	book2_chapter5_2_1:3.0
book1_ch02_5_2	book2_chapter1_6_1:3.0
book1_ch06_4_3	book2_chapter6_1_2:2.0
book1_ch01_8_2	book2_chapter1_5_2:3.0
book1_ch01_2_3	book2_chapter1_6_1:3.0,book2_chapter1_3_1:1.0
book1_ch06_4_2	book2_chapter6_1_2:2.0
book1_ch04_3_2	book2_chapter2_1_2:2.0,book2_chapter2_3:3.0
book1_ch04_5_2	book2_chapter2_2_2:3.0,book2_chapter5_3:2.0
book1_ch01_7_4	book2_chapter1_5_1:3.0
book1_ch01_2_2	book2_chapter1_3_1:1.0,book2_chapter6_1_1:2.0,book2_chapter1_4_1:1.0
book1_ch02_4_6	book2_chapter1_2_1:2.0,book2_chapter1_3_1:2.0
book1_ch01_7_10	book2_chapter1_5_1:2.5
book1_ch02_7_5	book2_chapter5_1_2:3.0
book1_ch02_2_3	book2_chapter1_2_1:2.0,book2_chapter1_3_1:1.0
book1_ch06_6_5	book2_chapter6_5:2.0
book1_ch02_2_9	book2_chapter1_7_2:3.0,book2_chapter1_7:3.0
book1_ch06_5_2	book2_chapter6_1_4:3.0
book1_ch02_5_10	book2_chapter1_7_2:2.5
book1_ch04_2_3	book2_chapter2_1_1:2.5
book1_ch03_6_5	book2_chapter1_3_1:3.0
book1_ch03_3_3	book2_chapter1_1_5:3.0
book1_ch02_6_7	book2_chapter5_1_1:3.0,book2_chapter5_1_2:3.0
book1_ch04_2_11	book2_chapter2_1_1:2.5
book1_ch03_3_2	book2_chapter1_1_5:3.0
book1_ch03_6_2	book2_chapter1_3_1:3.0
book1_ch01_3_2	book2_chapter6_1:2.0,book2_chapter6_1_1:3.0
book1_ch02_2_2	book2_chapter2_1_1:2.0,book2_chapter1_1_1:3.0
book1_ch06_2_3	book2_chapter6_1_1:2.0,book2_chapter6_5_1:2.0
book1_ch02_4_14	book2_chapter1_2_1:2.0,book2_chapter1_3_1:2.0
book1_ch06_3_2	book2_chapter6_1_3:1.0
book1_ch01_6_2	book2_chapter1_4_2:3.0
book1_ch03_5_3	book2_chapter1_2_1:3.0
book1_ch01_8_7	book2_chapter1_5_5:2.0,book2_chapter1_5_3:3.0
book1_ch01_4_6	book2_chapter1_4_3:2.0
book1_ch01_8_3	book2_chapter1_5_4:3.0
book1_ch03_2_2	book2_chapter1_1_1:3.0,book2_chapter1_1_2:2.0,book2_chapter1_1_3:2.0,book2_chapter1_1_5:2.0
book1_ch04_7_2	book2_chapter5_4_4:3.0
