foa-0001	permission final episode
foa-0002	cognitive_activity make decisions spur moment rest time warning collect research decision sound can book process research activities draw knowledge technical perspective terms tools speed activity distributed_networks knowledge world_wide_web build tools for searching collections text media argument cognitive task academics language users adaptive wide range strategies for information environment use term cognitive highlight use internal representations help simple cognitive structures increase complexity simple complex process active making paths complex sets features seem path forward humans expert searching complex_environments language system linguistic_features natural least cultural system definition times languages change features objects for express things form reactions express reactions first experience language children species children learn word language_games use language baby tool make move word functional language terms jobs will central conception keywords documents queries mean task language species advantages writing down facts down list things limited_memory advantages individual use language organize strategies use writing things down facts consistent can mean vice linguistic society value reading writing skills let shared symbols coordinate actions cultures scholarship curricula can terms encyclopedia_britannica think organism human search for object times language role society searching for passages academic community libraries search find books facts author thought authors people far time place language course library books topics topic interest looking for things relevant search basic skill academic for references order write term paper read textbook looking for help exercise scientific journals see question find reference paper paragraph will search its object can search world_wide_web for opinions music movies software course examples academic exercise information commodities skill information society places value infrastructure knowledge for time for example searching techniques will text collections linguistic objects files email_messages manuals literature web_servers technical reports core collections evidence real vital communicate author interests audience text balance author audience textual corpus will documents authors styles for purposes searching corpus his purposes use language way authors individual linguistic_expression authors write express questions read authors documents for word games meaning semantics words sentences questions documents can document topic least semantics document topic typical library_science technical solutions informed can contribute philosophy language examples will concern semantics documents techniques computational_linguistics focus syntactic_analysis individual sentences fact availability types electronic artifacts email_messages corpora browsing_behaviors users empirical grounding for theories language its core process browsing readers can phases question answer answer loop first step people interest building search_engine call users questions people frame mind cognitive state gap knowledge fill topic for moment users topic knowledge gap characteristics answer feature problem ignorance users question need search_engine question case call cognitive_state users information_need question users resources can internal cognitive_state expression question language call expression query language query_language for question answer question complex characteristics cognitive_state translate user question answer answer answer terms user will background_knowledge for user answer will search_engine computer program task concerns human cognitive_state make computer_system book will issues form problem will search_engine set passages text its response passages presenting users see will call passages document set documents corpus corpus very_large documents selecting small set answers will difficult will focus for first book final will basic functionality can tools for for education instance problem user waiting line question topic final exam chance question select come need documents way way problem phase process loop user assessment relevant find answer first question answer office perfect process dialog search_engine first delivery answer exchange first iteration conversation exchange process elements answer data can information_need terms threads answers simple set documents relevance_feedback for documents search_engine document relevant scenario can student relevance_feedback opportunity information reaction document relevant labeling set documents make use relevance_feedback judgments
foa-0003	section difficult issues will omissions goal problem computer_science information_retrieval field computers first words discipline library_science automated techniques for cataloging retrieving physical_materials browsing find methods can digital documents computers field linguistics computational_linguistics journals field conferences places publish field momentum searching retrieving biomedical_literature system newspaper magazine markets doctors lawyers students course the_internet examples textual collections people searching perspective will approach course assumptions can school student the_internet class_materials problem library_science text will characterization cognitive_process its traditional techniques search_engine implementation system typical search_engines now use text course build simple example search_engine guide phases component search_engine human algorithm search_engine will same purpose figure search_engine match features users queries documents sharing features far features keywords documents information_retrieval_system
foa-0004	linguistic atoms words words phrases content document bridge gap users characterization information_need queries characterization documents focus will perspective users associated documents will
foa-0005	query_language query student office reference desk query_language use frame question natural expressive tongue familiar for software_search_engines will artificial query_language languages will vocabulary set keywords user queries syntax construct query structures
foa-0006	first constraint can apply set keywords will vocabulary domain discourse area user search_engine searching building reference work questions topic build search_engine goals questions will path will challenge focus topic concrete text will domain discourse artificial_intelligence can computer_science algorithms inferences human intelligent topics knowledge_representation machine_learning computer_science term artificial_intelligence hypernym relationship phrases will example task difficult corpus documents material topic computer_science artificial_intelligence topics knowledge_representation machine_learning terms task help users vocabulary relevant topic language user can will central goal design for example seem keyword small artificial_intelligence computer_science keyword for corpus apply document things vocabulary_size number keywords factors scope domain discourse typical language user reading vocabulary words web_search_engines large test corpora union document types vocabularies times size large lexicon keywords for corpora true field can terms art practice search_engines difficulty number usable keywords
foa-0007	keywords features users queries face keywords features documents document query documents topic function documents description_language same vocabulary words queries content document characterization document process keywords document vocabulary can vocabularies open vocabularies documents corpus authors conference_proceedings for example list potential keywords authors restrict terms list controlled_indexing_vocabulary hand authors terms index vocabulary for indexing process text come set keywords document make exercise concrete author report journal things journal author keywords article will pick set keywords audience computer scientists think read publication connections work work nonlinear_regression time_series_prediction now same paper magazine pick keywords meaning audience neural_networks stock_market context keywords audience keywords mean activity keywords will function real issue document same corpus keywords document keywords independent features document fact keywords relation document its prospective readers sensitive characteristics users queries documents same corpus words keywords pick for pick for for reasons spin control
foa-0008	query_syntax status process capture scope corpora domain discourse expressive information_needs users course need restrict users keywords natural for queries keywords empirical evidence typical queries keywords number combinatorial extension basic vocabulary keywords applications for example document query example like can queries keywords size queries sets keywords will simple queries web_search_engines support simple queries search_engines advanced_interfaces operators query_language exposure computer_science think sets keywords boolean_operators example set documents neural_networks set documents speech_recognition can query neural_networks speech_recognition intersection sets neural_networks speech_recognition union operator problem users things neural_networks fact majority corpus binary subtraction operator make explicit will call syntactic operators search_engine query_language discussion will simple keyword vocabulary size users can construct number potential queries express information_need
foa-0009	specific_features query role expressions play process users express information_need linguistic_expression thought can difficult true cognitive_state familiar syntactic_features query_language express need for syntax users difficult will difficulties query_session assumptions least making think iteration process time realistic situations can queries will isolation iteration process query dialog search_engine response user directions next query abstract_view sequence concatenation series basic iterations user search_engine user natural alternation engine assessments can function next query can method for query relevance_feedback example users click documents like search_engine can form query keywords associated documents techniques for relevance_feedback things can learn query_session query_session evidence users information_need can gain query fact will search_engine learn evidence learning_methods make users expressions information_needs final documents course leap users session frustration reasons query_session boundaries focused_search session next session same user searching topic
foa-0010	documents first process set potential answers users queries will ground abstract_view practical terms can for example now goal will balance practical description search_engines work abstract view practices kinds come definition document passage free_text text strings characters alphabet make assumption roman_alphabet standard punctuation like font style add characters like characters asian_languages thought free text mean natural_language sort native readers writers use examples free_text newspaper article journal paper dictionary_definition text will language language artifacts moment texts like email_messages hand help point texts can spontaneity oral_communication for will passages text size newspaper example documents words journal_articles make think times email_messages make think size can think book single_document passages basic definition answers search topic length documents will critical issue search_engine design corpus documents documents can topics documents associated keywords response make simple assumption documents words priori probability document corpus relevant will documents indices way for normalization_procedure matter debate will depth now will issue document_length alternative assumptions unit text paragraph documents basic paragraph atoms first argument sample text can request paragraph claim word sentence context for question paragraph rules composition answer questions text can paragraphs average screen page chunks range structural_relationships atomic paragraphs can form passages simple sequential flow order author paragraphs read sequential nature traditional media first books sequential ordering paragraphs human understanding rhetoric form case sequential ordering paragraphs way relationships hierarchical_structure composing paragraphs footnotes theme bibliographic_citations publications references same document relationships conceptual foundations discussion course relationships grown publication typographical conventions rules sequential flow electronic_media now readers becoming authors need same linear flow capabilities problems text nonlinear hypertext for new_technology make traversals jumping reference click button library same make difficult for author present argument now will arguments can nonlinear hypermedia documents paragraphs can assumptions sense scientific paper abstract same content rest paper newspaper article first paragraph summarize following story issues text treatment will
foa-0011	free_text documents will meta-data facts document publication information for example document journal issue page author document will aspects free_text meta-data documents first query same relation core process criteria publication type date seem sort query structured attributes database_systems applications hybrid database technologies will techniques examples concern characteristics database categories example can mean children magazine terms attributes database query sort work proteins neurogenesis exact_match for string attribute conventions medical publication physics authors papers director institute laboratory syntactic requirements authorship paper users searching for work semantic_relationship mind
foa-0012	focused individual documents course problem interest corpus documents interest number documents cumulative size will matter methods time space make parameters pick simple example find newspaper article read days for friend searching pages effective paper need search recycling pile standard utility like command can practical alternative corpus small queries simple catalogs first
foa-0013	library card catalogs drawers index cards card catalog proxies representations documents acting surrogate for books text books drawers card catalogs function indexing efficient retrieval terminals far library building heart system text_search_engine matching features query book like index cards retrieval proxy work bibliographic_citation abstract text interest book magazine journal search_engine find computer storage capacities network_communication find retrieval_systems presenting text context proxies extend bibliographic_citation information subject_headings card catalogs document article abstract opinion book table_of_contents search_engine retrieving documents retrieving proxies for least reasons technical capabilities libraries computers networks can conceptual confusion search_engine for text journal_articles commercial systems free access public_library fact libraries index individual periodical collections technical capacities changes application intellectual_property laws changes library role changes publishing industry traditional balance publications issue capturing books journals far the_future technical legal barriers rendering document corpus document proxies process support retrieving sets documents users step times versions documents for browsing users scan relevance_feedback read document document accurate its abstract its bibliographic_citation proxy information for users relevant
foa-0014	subtle characteristic documents need concern genre voice style document like find stuff like textbook phone genre email typical media spoken_conversation markings document consistent newspaper readers editors stories maintain consistent voice journal_articles peers same field standards community component audience focus vocabulary_choice author variations document_structure field like psychology for example difficult paper journals like forms legislation variations genre difficult consistent corpus typical email_message jump place newspaper page examples highlight context corpus read document problems www_search document can crawl contexts writing_styles orienting features newspaper rubric selection tool scans usenet_news browsing users abilities document textual passages context content hypermedia forms traditional publications range genres will experience can increase methods for help document contextual_information
foa-0015	definition documents forms people now print media form answer methods media images movies maps textual material need search for casting central problem text aspects multimedia_retrieval same perspective users information_needs can use term document potential answer users queries now term media document order match queries users can search_engine same time problem change move textual_documents media difficulty documents semantic_content syntactic_features semantic_evidence text-based relative frequencies keywords document corpora text will set will role syntactic links associated texts can play understanding move media question consistent features new_media can process semantic_content example can image distribution its pixel values share brightness profile horizontal line reliable can can mode analysis generalized retrieval images typical descriptors human aspects images blind rich vocabulary images use query like claim list things pictures set angle gaze attitudes divorce picture now commentary editors permission juxtaposition photos picture its selection for use text meme example photograph locking display case concert performance schedule case sign photo number subtle key case for teacher parents none school administrators can think solution examples seem cold_war category expert power evidence participants group photos picture worth words images explanation volumes move still_images movies channels for meaning camera focus soundtrack skilled director rich vocabulary ability record digital spoken documents speech form audio analysis text music film motion_pictures representations computers convenience availability electronic_media make analyze text place label for subfield linguistics words symbols meaning language coherent system symbol use symbols photo movie directors meaning symbols changes time recall pictures interpretation time publication interpretation now pictures mean context its meaning now complex meanings typical images documents publication code paper now for descriptors images media seem archives news photos newspapers images captions video streams transcripts textual data techniques for semantic_content images can top text-based techniques conjunction machine_learning_techniques will reliable associations image video corpora can situations images captions video transcripts will document solutions for case
foa-0016	process vocabulary keywords documents corpus index relation_mapping document set keywords inverse mapping for keyword documents assignment can manual_indexing people skilled natural_language users expertise domain discourse read document least keywords for automatic_indexing procedures for same result index relation connection users expressions information_need documents can goal relation core problem
foa-0017	document its string characters first for keywords will tokens things white_space token document its keywords simple solution users for documents document indexing string users document fact query form document queries like words suffixes affect meaning course problem make arguments simple solution spaces noun phrase fact white_space words critical meaning descriptors documents morphological_features mark features can meaning differences texts relationship characters words hyphenation word phrase data_base phrase variable author preference practice time place publication hope tokens references same semantic_category hope hyphenation words boundaries keywords set white_space characters tokens make keywords situation potential keyword punctuation situations space breaks semantic unit algorithm bigrams pairs_of_words problem noun_phrases like back_propagation_neural_network let syntactic compounds verb_phrases clauses sentences phrases active area research perspectives computational_linguistics will token keyword solutions will handle hyphenation phrases stems
foa-0018	field library_science manual process effective indices for time standard comparison automatic techniques can difficult comparison will data for example capacity words indexer query user consistency humans make expectations for automated techniques manual automatic_indexing need alternatives terms resources read document corpus index option index automatic_system construct resources human tools make effective use time methods editorial resource sense manual effort corpus editors librarians guide automatic_indexing process information computation intelligent human readers assurance indexing function will editors can train machine_learning systems number analyses interest editors will
foa-0019	database_retrieval field computer_science fields databases efficient_algorithms for elements computer industry databases search_engines class queries users information computers database_systems theory central discipline computer_science techniques core_technologies for general public discovery the_internet interest search_engines like alta_vista users find value lists web_pages response search_engines for people organizing address book record collection baseball statistics databases database_technologies make concrete let information_need think database search_engine example query disk_drive database_size number case databases assumptions first structure attributes individual records database_design elements data format logical_relations logical_data_model data physical implementation assumptions specification syntax for query_language strategies for optimizing query use computational_resources efficient_storage data physical_devices let logical_data_model large catalog information drive will make assumption users can translate natural_language syntax query_language result database_search like databases example relation like instances simple data_modeling data keeping date tasks database catalog date missing_data users database informed let search_engine same query usenet_news search_engine like query results retrieval posting search_engine will read issues disks relevant situation for search switching switching problems for configuration error comp comp comp comp for comp comp cd-rom for comp comp mac video desktop comp scsi comp comp question disk for software disk for controller people performance example mean cost maximum capacity minimum access_time users users information database_retrieval database_system data query retrieval_method criteria purchase knowledge personal_communication leaves users informed set assumptions database_system search_engine example information authority database users questions data authority data_integrity like database_analysis key assumption for users can listen conversation text potential answers question search_engine retrieving textual passages answer users questions users expectations interpretive work concrete users learn topic semantic issues central interpretation textual passage its context validity heart enterprise table issues number dimensions database_systems can database_systems data search_engines indirection pointer textual passages facts interest information_need users database users search_engine users searching for information topic database users question like mind database data for example null_value price disk_drive case database_system information queries point ambiguity expectations queries general retrieval probabilistic terms hard_disk price database probability its value database_system hard_disk cost depth search_engine can use methods for reasoning evidence confident will relevant will document users can confidence problems search_engines success criteria information database_system find for database_system system answers database_system claims efficient integrate code user-friendly list search_engines databases far analysis search_engine technology applications hybrids databases search_engines historical differences engine interaction evaluation search_engines detail bottom line system help writing research_paper search_engine help find material research case find relevant opinion search_engine equivalent time books law library qualitative judgments difficult measure measure populations users next section preview precise measurements proven community persuasive database community
foa-0020	build search_tool potential customer relative values use search engine work can its features critical success make science build consistent reliable tools vital methodology performance search_engines can evaluation human reference subjective factors communicate factors performance search_engine document answer evaluation search_engines difficult field methodology for search_engine_evaluation objective assessment task will sketch task first step focus query respect query set documents relevant search_engine can relevance documents set documents response query terms venn_diagram number documents designated relevant will key measure success size set standards comparison example search_engine relevant_document retrieval intersection number documents relevant measure search_engine_performance recall users see relevant standard comparison number documents fact relevant measure precision simple measure search_engine_performance criteria real applications users will precision recall example looking for ruling opinions documents point for his case will behavior typical undergraduate hand searching the_web for term paper next relevant documents student first screen hits relevant high-precision same analysis order documents performance range typical queries issues evaluation
foa-0021	ground summarize topics will rest text points things search_engines need support activity central activities understanding work linguistics philosophy language will search_engine development use search_engines will empirical evidence same disciplines field computer_science retrieving documents response queries indexing documents corpus keyword descriptors number techniques for recommending keywords art interests queries same keywords matching query documents list central component process users relevance_feedback documents match mind search_engines function database_systems natural_language foundations differences order for search_engine science move forward evaluation_methodology can alternatives overview assumptions questions goal now hope facets problem ranging characterization users documents mean methods for semantic document problem search_engines rest book will facets detail like problems issues will text
